YEAR,LAND_CLASS,FEATURENO,FEATURE,LOWER_ESTIMATE,MEAN_ESTIMATE,UPPER_ESTIMATE,LAND_CLASS_AREA
1984,10e,TOTAL,Total,116.48,130.95,147.62,13250.5
1984,10e,_1,Hedges,48.07,63.73,79.42,13250.5
1984,10e,_3,Wall,4.92,12.32,21.25,13250.5
1984,10e,_4,Line of Trees + Fence,0.86,2.08,3.42,13250.5
1984,10e,_5,Line of Trees,1.5,3.53,5.83,13250.5
1984,10e,_6,Bank/Grass Strip,0.91,2.25,3.89,13250.5
1984,10e,_7,Fence,38.49,46.87,57.53,13250.5
1984,11e,TOTAL,Total,51.79,62.93,72.97,8699
1984,11e,_1,Hedges,29.9,39.64,48.1,8699
1984,11e,_3,Wall,0.16,2.04,4.76,8699
1984,11e,_4,Line of Trees + Fence,0.38,0.79,1.3,8699
1984,11e,_5,Line of Trees,1.02,1.82,2.71,8699
1984,11e,_6,Bank/Grass Strip,0.02,0.33,0.72,8699
1984,11e,_7,Fence,14.1,18.08,22.51,8699
1984,12e,TOTAL,Total,10.4,13.8,17.14,3412.7
1984,12e,_1,Hedges,5.42,9.05,12.89,3412.7
1984,12e,_3,Wall,-0.01,0,0.01,3412.7
1984,12e,_4,Line of Trees + Fence,0.17,0.35,0.68,3412.7
1984,12e,_5,Line of Trees,0.53,1.09,1.71,3412.7
1984,12e,_6,Bank/Grass Strip,-0.01,0.22,0.59,3412.7
1984,12e,_7,Fence,1.31,2.8,4.28,3412.7
1984,13e,TOTAL,Total,27.77,39.42,52.14,4245.6
1984,13e,_1,Hedges,14.62,24.08,33.65,4245.6
1984,13e,_3,Wall,0.05,0.71,1.21,4245.6
1984,13e,_4,Line of Trees + Fence,-0.01,0.46,1.22,4245.6
1984,13e,_5,Line of Trees,0.05,0.57,1.27,4245.6
1984,13e,_6,Bank/Grass Strip,-0.04,0.11,0.31,4245.6
1984,13e,_7,Fence,8.56,13.66,19.15,4245.6
1984,13s,TOTAL,Total,10.84,16.64,22.42,2199.9
1984,13s,_1,Hedges,0.48,0.98,1.43,2199.9
1984,13s,_3,Wall,0.33,2.59,6.21,2199.9
1984,13s,_4,Line of Trees + Fence,0.65,0.95,1.25,2199.9
1984,13s,_5,Line of Trees,-0.05,0.22,0.54,2199.9
1984,13s,_6,Bank/Grass Strip,1.01,5.48,10.65,2199.9
1984,13s,_7,Fence,3.6,6.46,9.88,2199.9
1984,15e,TOTAL,Total,13.89,14.11,17.69,1266.3
1984,15e,_1,Hedges,5.86,6.75,10.05,1266.3
1984,15e,_3,Wall,0,1.24,2.18,1266.3
1984,15e,_4,Line of Trees + Fence,-0.86,0.41,0.53,1266.3
1984,15e,_5,Line of Trees,0.12,0.51,0.87,1266.3
1984,15e,_6,Bank/Grass Strip,-1.06,0.11,0.13,1266.3
1984,15e,_7,Fence,5.31,5.79,10.47,1266.3
1984,15w,TOTAL,Total,24.69,30.64,36.07,2426.7
1984,15w,_1,Hedges,10.42,17.42,24.77,2426.7
1984,15w,_3,Wall,0,0.66,1.94,2426.7
1984,15w,_4,Line of Trees + Fence,-1.08,0.64,2.66,2426.7
1984,15w,_5,Line of Trees,0.34,1.14,1.93,2426.7
1984,15w,_6,Bank/Grass Strip,1.24,2.78,5.06,2426.7
1984,15w,_7,Fence,3.6,8.3,13.88,2426.7
1984,16e,TOTAL,Total,36.2,40.86,45.2,3866
1984,16e,_1,Hedges,9.36,13.32,17.25,3866
1984,16e,_3,Wall,2.76,6.7,11.88,3866
1984,16e,_4,Line of Trees + Fence,0.62,1.09,1.63,3866
1984,16e,_5,Line of Trees,0.44,1.07,1.76,3866
1984,16e,_6,Bank/Grass Strip,0.42,1.21,2.41,3866
1984,16e,_7,Fence,13.45,17.46,21.93,3866
1984,17e,TOTAL,Total,19.05,29.84,43.81,3934
1984,17e,_1,Hedges,3.89,9.53,15.43,3934
1984,17e,_3,Wall,1.73,16.02,31.05,3934
1984,17e,_4,Line of Trees + Fence,-0.65,0.53,2.03,3934
1984,17e,_5,Line of Trees,-0.32,0.35,1.6,3934
1984,17e,_6,Bank/Grass Strip,-0.6,0.8,2.98,3934
1984,17e,_7,Fence,-1.31,2.58,6.33,3934
1984,17w1,TOTAL,Total,2.11,9.72,16.63,1941
1984,17w1,_1,Hedges,1.32,4.4,7.61,1941
1984,17w1,_3,Wall,0.37,1.45,2.69,1941
1984,17w1,_4,Line of Trees + Fence,-0.67,0.22,1.53,1941
1984,17w1,_5,Line of Trees,0.09,0.87,1.63,1941
1984,17w1,_6,Bank/Grass Strip,-1.32,1.22,2.62,1941
1984,17w1,_7,Fence,0.17,2.35,4.73,1941
1984,17w2,TOTAL,Total,20.07,30.73,41.53,4978
1984,17w2,_1,Hedges,3.78,10.52,18.32,4978
1984,17w2,_3,Wall,0.53,11.33,27.52,4978
1984,17w2,_4,Line of Trees + Fence,-5.38,1.18,5.77,4978
1984,17w2,_5,Line of Trees,0.82,2.32,4.22,4978
1984,17w2,_6,Bank/Grass Strip,-0.78,0.91,3.36,4978
1984,17w2,_7,Fence,-9.27,7.56,17.04,4978
1984,17w3,TOTAL,Total,13.52,21.87,27.5,2082
1984,17w3,_1,Hedges,1.6,5.81,9.76,2082
1984,17w3,_3,Wall,0,0.83,3.39,2082
1984,17w3,_4,Line of Trees + Fence,0.08,0.36,0.72,2082
1984,17w3,_5,Line of Trees,-0.03,0.13,0.3,2082
1984,17w3,_6,Bank/Grass Strip,1.56,4.72,8.93,2082
1984,17w3,_7,Fence,1.75,5.69,10.27,2082
1984,18e,TOTAL,Total,1.59,11.8,27.36,2024
1984,18e,_1,Hedges,0.27,1.34,2.8,2024
1984,18e,_3,Wall,3.49,11.2,17.6,2024
1984,18e,_4,Line of Trees + Fence,0.04,0.47,1,2024
1984,18e,_5,Line of Trees,-0.1,0.45,1.59,2024
1984,18e,_6,Bank/Grass Strip,-0.4,0.35,1.01,2024
1984,18e,_7,Fence,-1.38,2.03,4.42,2024
1984,18s,TOTAL,Total,2.14,6.6,11.19,3629.9
1984,18s,_1,Hedges,-0.26,-0.12,0,3629.9
1984,18s,_3,Wall,0,0.74,1.7,3629.9
1984,18s,_4,Line of Trees + Fence,0,0.89,1.78,3629.9
1984,18s,_5,Line of Trees,0,0.02,0.04,3629.9
1984,18s,_6,Bank/Grass Strip,0,0,0,3629.9
1984,18s,_7,Fence,1.47,4.76,8.09,3629.9
1984,18w,TOTAL,Total,9.47,14.6,17.31,1258
1984,18w,_1,Hedges,0.99,5.16,10.68,1258
1984,18w,_3,Wall,0.62,1.33,2.7,1258
1984,18w,_4,Line of Trees + Fence,0.32,1.11,1.78,1258
1984,18w,_5,Line of Trees,0.03,0.37,0.7,1258
1984,18w,_6,Bank/Grass Strip,0.28,0.65,0.81,1258
1984,18w,_7,Fence,2.95,3.96,11.04,1258
1984,19e,TOTAL,Total,36.32,45.48,53.42,5384
1984,19e,_1,Hedges,0.36,4.64,10.71,5384
1984,19e,_3,Wall,13.53,18.6,28.22,5384
1984,19e,_4,Line of Trees + Fence,-1.42,0.31,2.11,5384
1984,19e,_5,Line of Trees,-0.83,0.3,1.25,5384
1984,19e,_6,Bank/Grass Strip,0.06,1.64,4.28,5384
1984,19e,_7,Fence,10.4,16.51,25.26,5384
1984,19s,TOTAL,Total,5.12,12.06,21.86,3214
1984,19s,_1,Hedges,0,0.31,0.51,3214
1984,19s,_3,Wall,2.06,3.23,4.32,3214
1984,19s,_4,Line of Trees + Fence,0,0.16,0.47,3214
1984,19s,_5,Line of Trees,-0.38,-0.1,0,3214
1984,19s,_6,Bank/Grass Strip,0.4,0.47,0.53,3214
1984,19s,_7,Fence,1.83,8.55,18.24,3214
1984,1e,TOTAL,Total,104.84,123.61,141.3,12422.3
