feature,ag_type,country,length_be,length_max,length_min
Fence,Arable,England,28.53959544462321,36.378855056801356,21.378198322492818
Fence,Arable,Scotland,52.46306686570237,67.13680273159349,39.146548617902916
Fence,Arable,Wales,38.78712184290868,45.20923921423505,32.025780984981644
Fence,Grass,England,30.02749635032633,38.776506912644464,22.40910970643091
Fence,Grass,Scotland,45.212995145491625,60.19781882247054,31.66441654937332
Fence,Grass,Wales,34.40558125744616,43.21171789267396,24.516530262846274
Hedges,Arable,England,35.34146134475946,44.948445476438735,25.59925685142909
Hedges,Arable,Scotland,9.431890324462518,16.85283368507747,3.409344383246684
Hedges,Arable,Wales,35.348629228729145,43.70586239861843,27.461683165263512
Hedges,Grass,England,35.98188884881998,46.830359539162075,25.27025729537824
Hedges,Grass,Scotland,8.533689522113386,14.484531640479132,3.4637443866754754
Hedges,Grass,Wales,26.781791852651327,39.33745166206563,15.077638993594713
Line of Trees + Fence,Arable,England,4.450299298297878,6.586006312396362,2.588202234727758
Line of Trees + Fence,Arable,Scotland,3.690739692180985,5.905869837511367,1.73984660524013
Line of Trees + Fence,Arable,Wales,11.75717766059148,17.0922379498566,6.815308230795325
Line of Trees + Fence,Grass,England,5.0706082386232625,7.58587789866495,2.7813877605330224
Line of Trees + Fence,Grass,Scotland,2.7432281044437423,4.622315418569691,1.189689675312862
Line of Trees + Fence,Grass,Wales,11.467321838893438,17.012060303324493,6.121449116584137
Wall,Arable,England,3.4734730399121916,6.801513763777776,1.032111666664906
Wall,Arable,Scotland,20.097458863094317,33.683361644446734,9.636073505945333
Wall,Arable,Wales,2.7369167668917873,5.427575785610755,0.4086101088599006
Wall,Grass,England,4.506997318406527,9.457398801410122,0.9302793257232629
Wall,Grass,Scotland,21.47665144246881,34.840911919876675,10.767050622851615
Wall,Grass,Wales,5.300675962736175,11.60110424722989,0.7430347273821856
