full_name,thin_treat,yield_class,spacing,max_mai_age,period_end,top_ht,trees_ha,dbh,ba,vol_tree,vol_ha,trees_ha_THIN,dbh_THIN,ba_THIN,vol_tree_THIN,vol_ha_THIN,ba_CUM,vol_ha_CUM,perc_mort,mai
Sycamore,Intermediate,4,1.5,50,20,9,2391,8,11,0.01,15,459,7,2,0.01,3,13,18,NA,0.9
Sycamore,Intermediate,4,1.5,50,25,10.9,1567,10,12,0.03,39,824,9,5,0.02,14,18,57,NA,2.3
Sycamore,Intermediate,4,1.5,50,30,12.4,1146,12,13,0.05,62,421,10,4,0.03,14,23,93,NA,3.1
Sycamore,Intermediate,4,1.5,50,35,13.6,889,14,14,0.09,81,257,12,3,0.05,14,27,126,NA,3.6
Sycamore,Intermediate,4,1.5,50,40,14.6,721,16,15,0.13,95,169,14,3,0.08,14,31,155,NA,3.9
Sycamore,Intermediate,4,1.5,50,45,15.3,601,18,16,0.18,106,120,15,2,0.12,14,34,179,NA,4
Sycamore,Intermediate,4,1.5,50,50,15.9,529,20,16,0.22,115,72,17,2,0.15,11,36,200,NA,4
Sycamore,Intermediate,4,1.5,50,55,16.4,484,21,17,0.26,125,45,19,1,0.19,9,38,218,NA,4
Sycamore,Intermediate,4,1.5,50,60,16.8,452,23,18,0.3,133,31,20,1,0.22,7,40,233,NA,3.9
Sycamore,Intermediate,4,1.5,50,65,17.1,427,24,19,0.33,140,25,21,1,0.24,6,42,246,NA,3.8
Sycamore,Intermediate,4,1.5,50,70,17.4,407,25,19,0.36,146,20,22,1,0.25,5,43,256,NA,3.7
Sycamore,Intermediate,4,1.5,50,75,17.6,393,25,20,0.38,151,14,23,1,0.29,4,44,266,NA,3.5
Sycamore,Intermediate,4,1.5,50,80,17.8,382,26,21,0.41,156,11,23,0,0.3,3,45,274,NA,3.4
Sycamore,Intermediate,6,1.5,45,15,8.5,2918,7,11,0,9,0,0,0,0,0,11,9,NA,0.6
Sycamore,Intermediate,6,1.5,45,20,10.9,1454,10,10,0.02,36,1463,8,8,0.01,21,19,57,NA,2.8
Sycamore,Intermediate,6,1.5,45,25,12.9,973,13,12,0.07,65,480,11,5,0.04,21,25,107,NA,4.3
Sycamore,Intermediate,6,1.5,45,30,14.6,708,16,14,0.13,93,264,14,4,0.08,21,31,156,NA,5.2
Sycamore,Intermediate,6,1.5,45,35,15.9,549,19,16,0.21,115,160,17,3,0.13,21,36,199,NA,5.7
Sycamore,Intermediate,6,1.5,45,40,16.9,445,22,17,0.3,132,104,20,3,0.2,21,41,237,NA,5.9
Sycamore,Intermediate,6,1.5,45,45,17.7,379,25,19,0.39,146,65,22,3,0.28,18,45,270,NA,6
Sycamore,Intermediate,6,1.5,45,50,18.4,343,27,20,0.47,161,36,25,2,0.36,13,48,298,NA,6
Sycamore,Intermediate,6,1.5,45,55,18.9,317,29,21,0.55,174,26,27,1,0.43,11,50,321,NA,5.8
Sycamore,Intermediate,6,1.5,45,60,19.3,298,31,22,0.62,185,19,29,1,0.5,9,53,342,NA,5.7
Sycamore,Intermediate,6,1.5,45,65,19.7,282,32,23,0.69,194,15,30,1,0.56,8,54,359,NA,5.5
Sycamore,Intermediate,6,1.5,45,70,20,270,33,24,0.74,201,12,31,1,0.6,8,56,373,NA,5.3
Sycamore,Intermediate,6,1.5,45,75,20.3,260,35,24,0.8,207,10,32,1,0.67,7,57,386,NA,5.2
Sycamore,Intermediate,6,1.5,45,80,20.5,252,35,25,0.85,213,8,33,1,0.71,6,58,398,NA,5
Sycamore,Intermediate,8,1.5,45,15,10,1535,9,9,0.01,22,1315,8,7,0.01,15,15,37,NA,2.5
Sycamore,Intermediate,8,1.5,45,20,12.5,894,13,11,0.06,52,641,11,6,0.04,28,24,95,NA,4.8
Sycamore,Intermediate,8,1.5,45,25,14.6,613,17,14,0.14,87,281,15,5,0.1,28,31,158,NA,6.3
Sycamore,Intermediate,8,1.5,45,30,16.4,454,22,17,0.26,119,159,19,4,0.18,28,38,218,NA,7.3
Sycamore,Intermediate,8,1.5,45,35,17.8,357,26,19,0.4,144,97,23,4,0.29,28,45,272,NA,7.8
Sycamore,Intermediate,8,1.5,45,40,18.9,294,30,21,0.56,164,64,27,4,0.44,28,50,319,NA,8
Sycamore,Intermediate,8,1.5,45,45,19.7,258,33,22,0.71,183,37,31,3,0.6,22,55,360,NA,8
Sycamore,Intermediate,8,1.5,45,50,20.4,236,36,24,0.85,202,22,34,2,0.75,17,58,395,NA,7.9
Sycamore,Intermediate,8,1.5,45,55,21,221,38,26,0.99,219,15,37,2,0.88,13,61,426,NA,7.7
Sycamore,Intermediate,8,1.5,45,60,21.4,209,40,27,1.11,233,12,39,1,0.98,12,64,452,NA,7.5
Sycamore,Intermediate,8,1.5,45,65,21.8,200,42,28,1.22,244,10,41,1,1.1,11,66,473,NA,7.3
Sycamore,Intermediate,8,1.5,45,70,22.2,192,43,28,1.32,253,9,42,1,1.15,10,68,492,NA,7
Sycamore,Intermediate,8,1.5,45,75,22.4,185,45,29,1.41,261,7,44,1,1.23,9,70,509,NA,6.8
Sycamore,Intermediate,8,1.5,45,80,22.7,179,46,29,1.49,267,6,45,1,1.34,8,71,524,NA,6.6
Sycamore,Intermediate,10,1.5,40,10,8.3,2949,6,9,0,11,0,0,0,0,0,9,11,NA,1.1
Sycamore,Intermediate,10,1.5,40,15,11.3,1121,10,9,0.03,33,1827,9,11,0.02,32,19,65,NA,4.3
Sycamore,Intermediate,10,1.5,40,20,13.8,664,15,12,0.1,67,457,13,6,0.08,35,28,133,NA,6.7
Sycamore,Intermediate,10,1.5,40,25,16,455,21,15,0.23,106,208,18,5,0.17,35,37,207,NA,8.3
Sycamore,Intermediate,10,1.5,40,30,17.9,339,26,19,0.42,142,116,24,5,0.3,35,45,278,NA,9.3
Sycamore,Intermediate,10,1.5,40,35,19.4,270,32,21,0.64,171,69,29,5,0.51,35,52,343,NA,9.8
Sycamore,Intermediate,10,1.5,40,40,20.5,223,36,23,0.87,193,47,34,4,0.75,35,58,400,NA,10
Sycamore,Intermediate,10,1.5,40,45,21.4,199,40,25,1.09,218,24,38,3,1,24,63,449,NA,10
Sycamore,Intermediate,10,1.5,40,50,22.1,184,43,27,1.31,242,15,42,2,1.25,19,68,491,NA,9.8
Sycamore,Intermediate,10,1.5,40,55,22.8,173,46,29,1.51,263,11,46,2,1.44,16,71,528,NA,9.6
Sycamore,Intermediate,10,1.5,40,60,23.3,165,49,30,1.7,280,9,48,2,1.61,14,74,560,NA,9.3
Sycamore,Intermediate,10,1.5,40,65,23.7,158,50,31,1.86,293,8,50,2,1.72,13,77,586,NA,9
Sycamore,Intermediate,10,1.5,40,70,24,152,52,32,1.99,303,7,52,1,1.84,13,79,608,NA,8.7
Sycamore,Intermediate,10,1.5,40,75,24.3,146,54,33,2.13,312,6,53,1,2,12,81,629,NA,8.4
Sycamore,Intermediate,10,1.5,40,80,24.6,141,55,33,2.26,319,5,55,1,2.23,11,83,647,NA,8.1
Sycamore,Intermediate,12,1.5,40,10,9.3,1787,8,8,0.01,12,1163,7,4,0.01,7,13,19,NA,1.9
Sycamore,Intermediate,12,1.5,40,15,12.3,868,12,10,0.05,43,918,11,9,0.05,42,23,91,NA,6.1
Sycamore,Intermediate,12,1.5,40,20,15,495,18,13,0.16,81,372,16,7,0.11,42,33,172,NA,8.6
Sycamore,Intermediate,12,1.5,40,25,17.3,347,25,17,0.35,123,148,22,6,0.28,42,43,256,NA,10.2
Sycamore,Intermediate,12,1.5,40,30,19.3,271,31,21,0.6,163,77,29,5,0.55,42,52,338,NA,11.3
Sycamore,Intermediate,12,1.5,40,35,20.8,221,37,24,0.89,197,50,35,5,0.84,42,60,414,NA,11.8
Sycamore,Intermediate,12,1.5,40,40,22,187,42,26,1.2,223,35,41,5,1.15,40,67,480,NA,12
Sycamore,Intermediate,12,1.5,40,45,22.9,167,47,28,1.52,254,19,46,3,1.36,26,73,537,NA,11.9
Sycamore,Intermediate,12,1.5,40,50,23.7,154,50,31,1.82,282,13,50,3,1.67,21,77,586,NA,11.7
Sycamore,Intermediate,12,1.5,40,55,24.3,145,54,33,2.1,306,9,53,2,2.04,18,81,628,NA,11.4
Sycamore,Intermediate,12,1.5,40,60,24.9,138,56,34,2.35,326,7,56,2,2.35,17,85,665,NA,11.1
Sycamore,Intermediate,12,1.5,40,65,25.3,132,59,36,2.57,340,6,59,2,2.56,16,88,695,NA,10.7
Sycamore,Intermediate,12,1.5,40,70,25.6,127,60,36,2.77,351,5,60,2,2.78,15,90,721,NA,10.3
Sycamore,Intermediate,12,1.5,40,75,26,122,62,37,2.96,361,5,62,1,2.94,14,92,745,NA,9.9
Sycamore,Intermediate,12,1.5,40,80,26.3,118,64,38,3.13,368,4,64,1,3.14,13,94,766,NA,9.6
Oak,Intermediate,4,1.2,90,25,8,4200,7,16,0.01,30,0,0,0,0,0,16,30,NA,1.2
Oak,Intermediate,4,1.2,90,30,9.6,3750,8,21,0.01,54,0,0,0,0,0,21,54,NA,1.8
Oak,Intermediate,4,1.2,90,35,11,2363,10,20,0.03,66,1387,8,6,0.01,13,26,79,NA,2.3
Oak,Intermediate,4,1.2,90,40,12.3,1701,12,20,0.05,79,662,9,4,0.02,14,30,106,NA,2.7
Oak,Intermediate,4,1.2,90,45,13.5,1283,14,20,0.07,93,418,10,4,0.03,14,34,134,NA,3
Oak,Intermediate,4,1.2,90,50,14.5,1006,16,20,0.11,107,277,12,3,0.05,14,37,162,NA,3.2
Oak,Intermediate,4,1.2,90,55,15.4,822,18,21,0.15,121,185,14,3,0.08,14,41,190,NA,3.5
Oak,Intermediate,4,1.2,90,60,16.3,681,20,21,0.2,134,140,15,3,0.1,14,44,218,NA,3.6
Oak,Intermediate,4,1.2,90,65,17,573,22,22,0.26,147,108,17,2,0.13,14,46,244,NA,3.8
Oak,Intermediate,4,1.2,90,70,17.7,492,24,22,0.32,158,81,18,2,0.17,14,49,270,NA,3.9
Oak,Intermediate,4,1.2,90,75,18.2,428,26,22,0.39,169,65,20,2,0.22,14,51,294,NA,3.9
Oak,Intermediate,4,1.2,90,80,18.7,376,28,23,0.47,178,51,22,2,0.27,14,53,317,NA,4
Oak,Intermediate,4,1.2,90,85,19.2,334,29,23,0.56,186,42,23,2,0.34,14,55,339,NA,4
Oak,Intermediate,4,1.2,90,90,19.6,300,31,23,0.64,193,35,25,2,0.41,14,57,360,NA,4
Oak,Intermediate,4,1.2,90,95,19.9,270,33,23,0.73,198,30,26,2,0.47,14,59,379,NA,4
Oak,Intermediate,4,1.2,90,100,20.2,244,35,23,0.83,202,26,28,2,0.54,14,60,397,NA,4
Oak,Intermediate,4,1.2,90,105,20.4,221,36,23,0.93,204,23,29,2,0.6,14,62,414,NA,3.9
