agf_treatment,mean,sd,CI_lower,CI_upper
"10m alleys, 50 years to clearfell",0.685181058208777,0.19579088465038655,0.342888817715763,1.101076881156966
"10m alleys, 60 years to clearfell",0.685181058208777,0.19579088465038655,0.342888817715763,1.101076881156966
"10m alleys, 70 years to clearfell",0.685181058208777,0.19579088465038655,0.342888817715763,1.101076881156966
"10m alleys, 80 years to clearfell",0.685181058208777,0.19579088465038655,0.342888817715763,1.101076881156966
"20m alleys, 50 years to clearfell",0.3428109924416589,0.09859172836948257,0.17035316806223783,0.5523934648074857
"20m alleys, 60 years to clearfell",0.3428109924416589,0.09859172836948257,0.17035316806223783,0.5523934648074857
"20m alleys, 70 years to clearfell",0.3428109924416589,0.09859172836948257,0.17035316806223783,0.5523934648074857
"20m alleys, 80 years to clearfell",0.3428109924416589,0.09859172836948257,0.17035316806223783,0.5523934648074857
"30m alleys, 50 years to clearfell",0.2280132736433914,0.06555625727969293,0.11371205315906317,0.3673201108158289
"30m alleys, 60 years to clearfell",0.2280132736433914,0.06555625727969293,0.11371205315906317,0.3673201108158289
"30m alleys, 70 years to clearfell",0.2280132736433914,0.06555625727969293,0.11371205315906317,0.3673201108158289
"30m alleys, 80 years to clearfell",0.2280132736433914,0.06555625727969293,0.11371205315906317,0.3673201108158289
"40m alleys, 50 years to clearfell",0.17110770930298738,0.049437121537025217,0.08536588401751882,0.27856826062093526
"40m alleys, 60 years to clearfell",0.17110770930298738,0.049437121537025217,0.08536588401751882,0.27856826062093526
"40m alleys, 70 years to clearfell",0.17110770930298738,0.049437121537025217,0.08536588401751882,0.27856826062093526
"40m alleys, 80 years to clearfell",0.17110770930298738,0.049437121537025217,0.08536588401751882,0.27856826062093526
"Fenceline, 50 years to clearfell",0.02189491010690312,0.006772057264493543,0.010514684452024987,0.036950162604450415
"Fenceline, 60 years to clearfell",0.02189491010690312,0.006772057264493543,0.010514684452024987,0.036950162604450415
"Fenceline, 70 years to clearfell",0.02189491010690312,0.006772057264493543,0.010514684452024987,0.036950162604450415
"Fenceline, 80 years to clearfell",0.02189491010690312,0.006772057264493543,0.010514684452024987,0.036950162604450415
