agf_treatment,mean,sd,CI_lower,CI_upper
"10m alleys, 50 years to clearfell",175.30422162141323,26.51244435198291,138.15790271265016,226.1662923337994
"10m alleys, 60 years to clearfell",175.30422162141323,26.51244435198291,138.15790271265016,226.1662923337994
"10m alleys, 70 years to clearfell",175.30422162141323,26.51244435198291,138.15790271265016,226.1662923337994
"10m alleys, 80 years to clearfell",175.30422162141323,26.51244435198291,138.15790271265016,226.1662923337994
"20m alleys, 50 years to clearfell",87.68596368841374,13.27416441231109,69.0588319537542,113.11471207572475
"20m alleys, 60 years to clearfell",87.68596368841374,13.27416441231109,69.0588319537542,113.11471207572475
"20m alleys, 70 years to clearfell",87.68596368841374,13.27416441231109,69.0588319537542,113.11471207572475
"20m alleys, 80 years to clearfell",87.68596368841374,13.27416441231109,69.0588319537542,113.11471207572475
"30m alleys, 50 years to clearfell",58.440939549886615,8.8204220576562,46.058968167625984,75.39350932271094
"30m alleys, 60 years to clearfell",58.440939549886615,8.8204220576562,46.058968167625984,75.39350932271094
"30m alleys, 70 years to clearfell",58.440939549886615,8.8204220576562,46.058968167625984,75.39350932271094
"30m alleys, 80 years to clearfell",58.440939549886615,8.8204220576562,46.058968167625984,75.39350932271094
"40m alleys, 50 years to clearfell",43.90024709363958,6.62662694292961,34.51434906840961,56.519237645239244
"40m alleys, 60 years to clearfell",43.90024709363958,6.62662694292961,34.51434906840961,56.519237645239244
"40m alleys, 70 years to clearfell",43.90024709363958,6.62662694292961,34.51434906840961,56.519237645239244
"40m alleys, 80 years to clearfell",43.90024709363958,6.62662694292961,34.51434906840961,56.519237645239244
"Fenceline, 50 years to clearfell",5.610593211086834,1.0474203964559219,3.9057405764644404,7.844619048260595
"Fenceline, 60 years to clearfell",5.610593211086834,1.0474203964559219,3.9057405764644404,7.844619048260595
"Fenceline, 70 years to clearfell",5.610593211086834,1.0474203964559219,3.9057405764644404,7.844619048260595
"Fenceline, 80 years to clearfell",5.610593211086834,1.0474203964559219,3.9057405764644404,7.844619048260595
