treatment,mean,sd,CI_lower,CI_upper
"10m alleys, 50 years to clearfell",2.084721233480235,0.8011019313779891,0.9307988214090523,3.793330591076939
"10m alleys, 60 years to clearfell",2.0325282765840402,0.7915904862907789,0.9251784567977357,3.733015004449401
"10m alleys, 70 years to clearfell",1.9547208954818143,0.7469746058149744,0.8811715622939892,3.5503476421598936
"10m alleys, 80 years to clearfell",1.8224182801060225,0.7094308677660321,0.8259529684040546,3.35612713546724
"20m alleys, 50 years to clearfell",1.0486829442151337,0.404787654748831,0.4663736073395973,1.911042576954437
"20m alleys, 60 years to clearfell",1.0205036081651897,0.3864174877248258,0.462848969831721,1.8621259310240619
"20m alleys, 70 years to clearfell",0.967481160717691,0.3672899653203811,0.44150334156273385,1.7643119516604981
"20m alleys, 80 years to clearfell",0.9227523516860566,0.3515915156411849,0.4142890165380142,1.6760120494261466
"30m alleys, 50 years to clearfell",0.6941603657966576,0.27104315841358,0.3120058817203497,1.266401036704171
"30m alleys, 60 years to clearfell",0.6787186926858277,0.2580234948972799,0.3056082932343634,1.2362026040644385
"30m alleys, 70 years to clearfell",0.6482857274740015,0.2474929905702949,0.29274526278856083,1.1729887227494522
"30m alleys, 80 years to clearfell",0.6149488321062804,0.234105297690409,0.27648359340008827,1.1129990815719464
"40m alleys, 50 years to clearfell",0.5272147864535941,0.19938349726194618,0.23354686451656248,0.944225595323699
"40m alleys, 60 years to clearfell",0.5123163822982668,0.19376394464083757,0.2307182255788913,0.9220162057326765
"40m alleys, 70 years to clearfell",0.485142201902656,0.1841450761938225,0.22041562092708683,0.8776103024819003
"40m alleys, 80 years to clearfell",0.4601321274696118,0.1754516825372034,0.206808132672826,0.8354488606637538
"Fenceline, 50 years to clearfell",0.067411750110111,0.027168260905562847,0.0268887963756002,0.12736734184668907
"Fenceline, 60 years to clearfell",0.06522489519485293,0.025652316002019677,0.026828959796995688,0.12285973117638253
"Fenceline, 70 years to clearfell",0.06189987901073745,0.02478376320766269,0.025180040611014705,0.1166355479916561
"Fenceline, 80 years to clearfell",0.058875895866779895,0.023513853454925408,0.024336009474367364,0.11178594315332789
