agf_treatment,mean,sd,CI_lower,CI_upper
"10m alleys, 50 years to clearfell",85.40604974116152,29.859059531704176,38.08134276121859,148.240533826596
"10m alleys, 60 years to clearfell",85.40604974116152,29.859059531704176,38.08134276121859,148.240533826596
"10m alleys, 70 years to clearfell",85.40604974116152,29.859059531704176,38.08134276121859,148.240533826596
"10m alleys, 80 years to clearfell",85.40604974116152,29.859059531704176,38.08134276121859,148.240533826596
"20m alleys, 50 years to clearfell",42.56817003963416,14.858050580519276,19.115685263881744,73.7336268371784
"20m alleys, 60 years to clearfell",42.56817003963416,14.858050580519276,19.115685263881744,73.7336268371784
"20m alleys, 70 years to clearfell",42.56817003963416,14.858050580519276,19.115685263881744,73.7336268371784
"20m alleys, 80 years to clearfell",42.56817003963416,14.858050580519276,19.115685263881744,73.7336268371784
"30m alleys, 50 years to clearfell",28.4965399053843,9.874418714025675,12.755317454102158,49.14787073246501
"30m alleys, 60 years to clearfell",28.4965399053843,9.874418714025675,12.755317454102158,49.14787073246501
"30m alleys, 70 years to clearfell",28.4965399053843,9.874418714025675,12.755317454102158,49.14787073246501
"30m alleys, 80 years to clearfell",28.4965399053843,9.874418714025675,12.755317454102158,49.14787073246501
"40m alleys, 50 years to clearfell",21.337642830938574,7.411886396527036,9.577735107107197,36.839858481860404
"40m alleys, 60 years to clearfell",21.337642830938574,7.411886396527036,9.577735107107197,36.839858481860404
"40m alleys, 70 years to clearfell",21.337642830938574,7.411886396527036,9.577735107107197,36.839858481860404
"40m alleys, 80 years to clearfell",21.337642830938574,7.411886396527036,9.577735107107197,36.839858481860404
"Fenceline, 50 years to clearfell",2.7242080364127457,1.0045273649474142,1.1706550268397875,4.8671476648295755
"Fenceline, 60 years to clearfell",2.7242080364127457,1.0045273649474142,1.1706550268397875,4.8671476648295755
"Fenceline, 70 years to clearfell",2.7242080364127457,1.0045273649474142,1.1706550268397875,4.8671476648295755
"Fenceline, 80 years to clearfell",2.7242080364127457,1.0045273649474142,1.1706550268397875,4.8671476648295755
