agf_treatment,mean,sd,CI_lower,CI_upper
"10m alleys, 50 years to clearfell",29.045495508864526,3.779752688134161,22.032518308163976,36.746514268554634
"10m alleys, 60 years to clearfell",29.045495508864526,3.779752688134161,22.032518308163976,36.746514268554634
"10m alleys, 70 years to clearfell",29.045495508864526,3.779752688134161,22.032518308163976,36.746514268554634
"10m alleys, 80 years to clearfell",29.045495508864526,3.779752688134161,22.032518308163976,36.746514268554634
"20m alleys, 50 years to clearfell",14.546908627687182,1.890574631119875,11.065217560605523,18.4002925110128
"20m alleys, 60 years to clearfell",14.546908627687182,1.890574631119875,11.065217560605523,18.4002925110128
"20m alleys, 70 years to clearfell",14.546908627687182,1.890574631119875,11.065217560605523,18.4002925110128
"20m alleys, 80 years to clearfell",14.546908627687182,1.890574631119875,11.065217560605523,18.4002925110128
"30m alleys, 50 years to clearfell",9.686153029316863,1.268091375671351,7.3349025886248045,12.257821778805297
"30m alleys, 60 years to clearfell",9.686153029316863,1.268091375671351,7.3349025886248045,12.257821778805297
"30m alleys, 70 years to clearfell",9.686153029316863,1.268091375671351,7.3349025886248045,12.257821778805297
"30m alleys, 80 years to clearfell",9.686153029316863,1.268091375671351,7.3349025886248045,12.257821778805297
"40m alleys, 50 years to clearfell",7.275560442545154,0.9567957024850127,5.51938940172477,9.226699797201757
"40m alleys, 60 years to clearfell",7.275560442545154,0.9567957024850127,5.51938940172477,9.226699797201757
"40m alleys, 70 years to clearfell",7.275560442545154,0.9567957024850127,5.51938940172477,9.226699797201757
"40m alleys, 80 years to clearfell",7.275560442545154,0.9567957024850127,5.51938940172477,9.226699797201757
"Fenceline, 50 years to clearfell",0.9323014326056028,0.1583966620429372,0.6518687559534225,1.2676737810155525
"Fenceline, 60 years to clearfell",0.9323014326056028,0.1583966620429372,0.6518687559534225,1.2676737810155525
"Fenceline, 70 years to clearfell",0.9323014326056028,0.1583966620429372,0.6518687559534225,1.2676737810155525
"Fenceline, 80 years to clearfell",0.9323014326056028,0.1583966620429372,0.6518687559534225,1.2676737810155525
