treatment,mean,sd,CI_lower,CI_upper
"10m alleys, 50 years to clearfell",6579.464775352199,4215.954235768391,1304.3828310471708,17001.872037189827
"10m alleys, 60 years to clearfell",9663.03089985023,6286.244908923273,1915.3492065317296,25460.20654374307
"10m alleys, 70 years to clearfell",12593.654659269523,8045.894090649946,2518.728754206869,32340.417927652372
"10m alleys, 80 years to clearfell",14854.230465734696,9599.54889573896,3109.6503200953643,38549.312817248465
"20m alleys, 50 years to clearfell",3342.3351039041913,2191.8903215968908,662.3028797908862,8766.139942640559
"20m alleys, 60 years to clearfell",4855.51325188341,3091.864247423282,991.8281715995822,12491.86473406628
"20m alleys, 70 years to clearfell",6128.251330782279,3924.734032089937,1315.168256391968,15995.14245952589
"20m alleys, 80 years to clearfell",7563.142287726233,4867.497023036671,1595.6849518960094,19761.936361955424
"30m alleys, 50 years to clearfell",2187.5938322749494,1442.5114028113726,435.2153723078199,5891.742352567381
"30m alleys, 60 years to clearfell",3208.36795283992,2039.9104190572248,637.0735315973764,8188.225316421725
"30m alleys, 70 years to clearfell",4148.015685451569,2622.2341348327086,885.1436096564696,10549.969754901225
"30m alleys, 80 years to clearfell",5045.60800669445,3201.9438963916737,1029.6951817428612,12884.94692221077
"40m alleys, 50 years to clearfell",1668.856846774633,1061.49756782923,340.52295966704446,4320.427313155915
"40m alleys, 60 years to clearfell",2434.535852325225,1556.1422848909533,507.06261526834425,6181.540624195526
"40m alleys, 70 years to clearfell",3073.713953659322,1919.0675082732878,656.808963648635,7877.978797652938
"40m alleys, 80 years to clearfell",3738.4077856603635,2344.188894406724,778.2260285337384,9518.178031580763
"Fenceline, 50 years to clearfell",212.4044381517454,141.1194876434503,41.71492133130905,570.3778134553397
"Fenceline, 60 years to clearfell",309.96763316128903,199.2740262703162,64.26877985047422,807.1477833779696
"Fenceline, 70 years to clearfell",393.92947606830046,255.84053371264045,78.52812507839108,1036.1035297684261
"Fenceline, 80 years to clearfell",479.1794693485281,312.88561714769014,101.95076013113089,1267.2110463471881
